Title: Ion-by-Ion Cooling Efficiencies
Authors: Gnat O., Ferland G.J.
Table: Ion-by-Ion Cooling Efficiencies for Helium
================================================================================
Byte-by-byte Description of file: datafile1B.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label         Explanations
--------------------------------------------------------------------------------
   1-  8 E8.2   K       Temperature   Temperature (column 1)
  10- 17 E8.2   ---     He{0}         Ionic Cooling efficiency (column 2)
  19- 26 E8.2   ---     He{+}         Ionic Cooling efficiency (column 3)
  28- 35 E8.2   ---     He{2+}        Ionic Cooling efficiency (column 4)
  37- 44 E8.2   ---     He{CIE}       CIE Cooling efficiency (column 5)
--------------------------------------------------------------------------------
3.15e+06 1.21e-18 5.24e-19 1.76e-23 2.05e-23
3.32e+06 1.21e-18 5.26e-19 1.79e-23 2.06e-23
3.49e+06 1.21e-18 5.28e-19 1.82e-23 2.07e-23
3.68e+06 1.21e-18 5.29e-19 1.85e-23 2.09e-23
3.87e+06 1.20e-18 5.30e-19 1.88e-23 2.11e-23
4.07e+06 1.20e-18 5.31e-19 1.92e-23 2.12e-23
4.29e+06 1.20e-18 5.31e-19 1.95e-23 2.14e-23
4.51e+06 1.19e-18 5.31e-19 1.98e-23 2.16e-23
4.75e+06 1.19e-18 5.31e-19 2.01e-23 2.18e-23
5.00e+06 1.19e-18 5.30e-19 2.05e-23 2.21e-23
5.01e+06 1.19e-18 5.30e-19 2.05e-23 2.21e-23
5.25e+06 1.18e-18 5.30e-19 2.08e-23 2.23e-23
5.50e+06 1.17e-18 5.29e-19 2.11e-23 2.25e-23
5.75e+06 1.17e-18 5.27e-19 2.14e-23 2.28e-23
6.03e+06 1.16e-18 5.26e-19 2.18e-23 2.30e-23
6.31e+06 1.15e-18 5.24e-19 2.21e-23 2.33e-23
6.61e+06 1.15e-18 5.23e-19 2.25e-23 2.36e-23
6.92e+06 1.14e-18 5.21e-19 2.29e-23 2.39e-23
7.24e+06 1.13e-18 5.18e-19 2.32e-23 2.43e-23
7.59e+06 1.12e-18 5.16e-19 2.36e-23 2.46e-23
7.94e+06 1.11e-18 5.14e-19 2.40e-23 2.49e-23
8.32e+06 1.11e-18 5.11e-19 2.44e-23 2.53e-23
8.71e+06 1.10e-18 5.08e-19 2.48e-23 2.56e-23
9.12e+06 1.09e-18 5.05e-19 2.52e-23 2.60e-23
9.55e+06 1.08e-18 5.02e-19 2.56e-23 2.64e-23
1.00e+07 1.07e-18 4.99e-19 2.60e-23 2.67e-23
1.05e+07 1.06e-18 4.95e-19 2.65e-23 2.72e-23
1.10e+07 1.05e-18 4.92e-19 2.70e-23 2.76e-23
1.15e+07 1.04e-18 4.88e-19 2.75e-23 2.81e-23
1.20e+07 1.03e-18 4.84e-19 2.80e-23 2.86e-23
1.26e+07 1.02e-18 4.81e-19 2.85e-23 2.90e-23
1.32e+07 1.00e-18 4.77e-19 2.90e-23 2.95e-23
1.38e+07 9.93e-19 4.73e-19 2.96e-23 3.00e-23
1.45e+07 9.82e-19 4.69e-19 3.01e-23 3.05e-23
1.51e+07 9.71e-19 4.64e-19 3.06e-23 3.10e-23
1.58e+07 9.60e-19 4.60e-19 3.12e-23 3.16e-23
1.66e+07 9.49e-19 4.56e-19 3.17e-23 3.21e-23
1.74e+07 9.37e-19 4.52e-19 3.23e-23 3.26e-23
1.82e+07 9.26e-19 4.47e-19 3.29e-23 3.32e-23
1.91e+07 9.14e-19 4.43e-19 3.35e-23 3.38e-23
2.00e+07 9.03e-19 4.38e-19 3.42e-23 3.45e-23
2.09e+07 8.92e-19 4.34e-19 3.49e-23 3.51e-23
2.19e+07 8.80e-19 4.29e-19 3.55e-23 3.58e-23
2.29e+07 8.69e-19 4.25e-19 3.62e-23 3.64e-23
2.40e+07 8.58e-19 4.20e-19 3.69e-23 3.71e-23
2.51e+07 8.46e-19 4.16e-19 3.76e-23 3.78e-23
