Title: Ion-by-Ion Cooling Efficiencies
Authors: Gnat O., Ferland G.J.
Table: Ion-by-Ion Cooling Efficiencies for Lithium
================================================================================
Byte-by-byte Description of file: datafile1C.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label         Explanations
--------------------------------------------------------------------------------
   1-  8 E8.2   K       Temperature   Temperature (column 1)
  10- 17 E8.2   ---     Li{0}         Ionic Cooling efficiency (column 2)
  19- 26 E8.2   ---     Li{+}         Ionic Cooling efficiency (column 3)
  28- 35 E8.2   ---     Li{2+}        Ionic Cooling efficiency (column 4)
  37- 44 E8.2   ---     Li{3+}        Ionic Cooling efficiency (column 5)
  46- 53 E8.2   ---     Li{CIE}       CIE Cooling efficiency (column 6)
--------------------------------------------------------------------------------
5.25e+06 7.79e-19 7.05e-19 3.90e-19 5.45e-23 6.91e-23
5.50e+06 7.52e-19 7.08e-19 3.91e-19 5.52e-23 6.90e-23
5.75e+06 7.25e-19 7.12e-19 3.92e-19 5.60e-23 6.90e-23
6.03e+06 7.00e-19 7.15e-19 3.93e-19 5.68e-23 6.91e-23
6.31e+06 6.76e-19 7.17e-19 3.94e-19 5.76e-23 6.93e-23
6.61e+06 6.53e-19 7.19e-19 3.94e-19 5.84e-23 6.95e-23
6.92e+06 6.31e-19 7.21e-19 3.94e-19 5.92e-23 6.97e-23
7.24e+06 6.10e-19 7.22e-19 3.95e-19 6.01e-23 7.00e-23
7.59e+06 5.90e-19 7.23e-19 3.94e-19 6.10e-23 7.03e-23
7.94e+06 5.70e-19 7.24e-19 3.94e-19 6.18e-23 7.07e-23
8.32e+06 5.51e-19 7.24e-19 3.93e-19 6.27e-23 7.11e-23
8.71e+06 5.33e-19 7.24e-19 3.93e-19 6.36e-23 7.15e-23
9.12e+06 5.16e-19 7.24e-19 3.92e-19 6.45e-23 7.20e-23
9.55e+06 5.00e-19 7.23e-19 3.91e-19 6.54e-23 7.25e-23
1.00e+07 4.84e-19 7.22e-19 3.90e-19 6.63e-23 7.30e-23
1.05e+07 4.69e-19 7.21e-19 3.88e-19 6.74e-23 7.37e-23
1.10e+07 4.54e-19 7.20e-19 3.87e-19 6.84e-23 7.44e-23
1.15e+07 4.40e-19 7.18e-19 3.85e-19 6.95e-23 7.52e-23
1.20e+07 4.27e-19 7.16e-19 3.83e-19 7.06e-23 7.60e-23
1.26e+07 4.14e-19 7.13e-19 3.81e-19 7.18e-23 7.68e-23
1.32e+07 4.02e-19 7.11e-19 3.79e-19 7.29e-23 7.77e-23
1.38e+07 3.90e-19 7.08e-19 3.77e-19 7.40e-23 7.85e-23
1.45e+07 3.79e-19 7.05e-19 3.75e-19 7.52e-23 7.95e-23
1.51e+07 3.68e-19 7.02e-19 3.73e-19 7.64e-23 8.04e-23
1.58e+07 3.58e-19 6.98e-19 3.71e-19 7.76e-23 8.14e-23
1.66e+07 3.48e-19 6.94e-19 3.68e-19 7.88e-23 8.24e-23
1.74e+07 3.38e-19 6.90e-19 3.66e-19 8.00e-23 8.34e-23
1.82e+07 3.29e-19 6.86e-19 3.63e-19 8.13e-23 8.45e-23
1.91e+07 3.20e-19 6.82e-19 3.60e-19 8.27e-23 8.57e-23
2.00e+07 3.11e-19 6.78e-19 3.58e-19 8.42e-23 8.70e-23
2.09e+07 3.03e-19 6.73e-19 3.55e-19 8.56e-23 8.83e-23
2.19e+07 2.95e-19 6.68e-19 3.52e-19 8.71e-23 8.96e-23
2.29e+07 2.87e-19 6.64e-19 3.49e-19 8.85e-23 9.09e-23
2.40e+07 2.80e-19 6.59e-19 3.46e-19 9.00e-23 9.23e-23
2.51e+07 2.73e-19 6.54e-19 3.43e-19 9.15e-23 9.36e-23
2.63e+07 2.66e-19 6.48e-19 3.40e-19 9.30e-23 9.50e-23
2.75e+07 2.59e-19 6.43e-19 3.37e-19 9.45e-23 9.63e-23
2.88e+07 2.53e-19 6.38e-19 3.34e-19 9.60e-23 9.77e-23
3.02e+07 2.47e-19 6.32e-19 3.31e-19 9.74e-23 9.91e-23
3.16e+07 2.41e-19 6.27e-19 3.28e-19 9.89e-23 1.00e-22
3.31e+07 2.35e-19 6.21e-19 3.25e-19 1.01e-22 1.02e-22
3.47e+07 2.30e-19 6.16e-19 3.22e-19 1.02e-22 1.04e-22
3.63e+07 2.24e-19 6.10e-19 3.19e-19 1.04e-22 1.05e-22
3.80e+07 2.19e-19 6.04e-19 3.15e-19 1.05e-22 1.07e-22
3.98e+07 2.14e-19 5.99e-19 3.12e-19 1.07e-22 1.08e-22
4.17e+07 2.09e-19 5.93e-19 3.09e-19 1.09e-22 1.10e-22
4.37e+07 2.04e-19 5.87e-19 3.06e-19 1.10e-22 1.11e-22
4.57e+07 2.00e-19 5.81e-19 3.03e-19 1.12e-22 1.13e-22
4.79e+07 1.95e-19 5.75e-19 3.00e-19 1.13e-22 1.14e-22
5.01e+07 1.91e-19 5.69e-19 2.97e-19 1.14e-22 1.15e-22
5.25e+07 1.87e-19 5.64e-19 2.94e-19 1.16e-22 1.17e-22
5.50e+07 1.82e-19 5.58e-19 2.90e-19 1.17e-22 1.18e-22
5.75e+07 1.79e-19 5.52e-19 2.87e-19 1.18e-22 1.19e-22
6.03e+07 1.75e-19 5.46e-19 2.84e-19 1.20e-22 1.20e-22
6.31e+07 1.71e-19 5.40e-19 2.81e-19 1.21e-22 1.22e-22
6.61e+07 1.67e-19 5.34e-19 2.78e-19 1.22e-22 1.23e-22
6.92e+07 1.64e-19 5.29e-19 2.75e-19 1.24e-22 1.24e-22
7.24e+07 1.60e-19 5.23e-19 2.72e-19 1.25e-22 1.25e-22
7.59e+07 1.57e-19 5.17e-19 2.69e-19 1.26e-22 1.26e-22
7.94e+07 1.54e-19 5.11e-19 2.66e-19 1.27e-22 1.27e-22
8.32e+07 1.50e-19 5.06e-19 2.63e-19 1.28e-22 1.28e-22
8.71e+07 1.47e-19 5.00e-19 2.60e-19 1.28e-22 1.29e-22
9.12e+07 1.44e-19 4.94e-19 2.57e-19 1.29e-22 1.30e-22
9.55e+07 1.41e-19 4.89e-19 2.55e-19 1.30e-22 1.30e-22
1.00e+08 1.38e-19 4.83e-19 2.52e-19 1.30e-22 1.31e-22
