Title: Ion-by-Ion Cooling Efficiencies
Authors: Gnat O., Ferland G.J.
Table: Ion-by-Ion Cooling Efficiencies for Nitrogen
================================================================================
Byte-by-byte Description of file: datafile1G.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label        Explanations
--------------------------------------------------------------------------------
   1-  8 E8.2   K       Temperature  Temperature (column 1)
  10- 17 E8.2   ---     N{0}         Ionic Cooling efficiency (column 2)
  19- 26 E8.2   ---     N{+}         Ionic Cooling efficiency (column 3)
  28- 35 E8.2   ---     N{2+}        Ionic Cooling efficiency (column 4)
  37- 44 E8.2   ---     N{3+}        Ionic Cooling efficiency (column 5)
  46- 53 E8.2   ---     N{4+}        Ionic Cooling efficiency (column 6)
  55- 62 E8.2   ---     N{5+}        Ionic Cooling efficiency (column 7)
  64- 71 E8.2   ---     N{6+}        Ionic Cooling efficiency (column 8)
  73- 80 E8.2   ---     N{7+}        Ionic Cooling efficiency (column 9)
  82- 89 E8.2   ---     N{CIE}       CIE Cooling efficiency (column 10)
--------------------------------------------------------------------------------
8.27e+04 2.67e-19 3.93e-19 3.04e-19 3.65e-19 4.22e-19 1.21e-23 7.89e-23 1.24e-22 3.22e-19
8.70e+04 2.86e-19 4.30e-19 3.29e-19 3.95e-19 4.43e-19 1.24e-23 8.01e-23 1.26e-22 3.50e-19
9.16e+04 3.06e-19 4.68e-19 3.56e-19 4.25e-19 4.62e-19 1.27e-23 8.14e-23 1.28e-22 3.81e-19
9.64e+04 3.26e-19 5.08e-19 3.83e-19 4.55e-19 4.82e-19 1.31e-23 8.26e-23 1.30e-22 4.12e-19
1.02e+05 3.47e-19 5.50e-19 4.11e-19 4.86e-19 5.00e-19 1.35e-23 8.39e-23 1.32e-22 4.46e-19
1.07e+05 3.69e-19 5.94e-19 4.39e-19 5.16e-19 5.18e-19 1.39e-23 8.52e-23 1.34e-22 4.80e-19
1.12e+05 3.91e-19 6.39e-19 4.67e-19 5.47e-19 5.34e-19 1.43e-23 8.65e-23 1.37e-22 5.14e-19
1.18e+05 4.14e-19 6.86e-19 4.96e-19 5.78e-19 5.50e-19 1.47e-23 8.79e-23 1.39e-22 5.48e-19
1.24e+05 4.43e-19 7.35e-19 5.25e-19 6.08e-19 5.66e-19 1.51e-23 8.92e-23 1.41e-22 5.82e-19
1.31e+05 4.74e-19 7.85e-19 5.55e-19 6.38e-19 5.80e-19 1.55e-23 9.06e-23 1.44e-22 6.13e-19
1.38e+05 5.06e-19 8.36e-19 5.84e-19 6.68e-19 5.93e-19 1.60e-23 9.20e-23 1.46e-22 6.41e-19
1.45e+05 5.39e-19 8.88e-19 6.14e-19 6.96e-19 6.06e-19 1.64e-23 9.34e-23 1.48e-22 6.63e-19
1.53e+05 5.73e-19 9.41e-19 6.43e-19 7.24e-19 6.17e-19 1.69e-23 9.48e-23 1.51e-22 6.75e-19
1.61e+05 6.08e-19 9.96e-19 6.73e-19 7.52e-19 6.28e-19 1.74e-23 9.62e-23 1.53e-22 6.69e-19
1.69e+05 6.45e-19 1.05e-18 7.03e-19 7.79e-19 6.38e-19 1.78e-23 9.77e-23 1.56e-22 6.38e-19
1.78e+05 6.82e-19 1.11e-18 7.32e-19 8.05e-19 6.48e-19 1.83e-23 9.91e-23 1.58e-22 5.80e-19
1.88e+05 7.20e-19 1.16e-18 7.62e-19 8.30e-19 6.56e-19 1.89e-23 1.01e-22 1.61e-22 4.97e-19
1.98e+05 7.59e-19 1.22e-18 7.91e-19 8.55e-19 6.64e-19 1.94e-23 1.02e-22 1.64e-22 4.02e-19
2.08e+05 7.99e-19 1.28e-18 8.20e-19 8.78e-19 6.71e-19 2.00e-23 1.04e-22 1.66e-22 3.10e-19
2.19e+05 8.40e-19 1.34e-18 8.50e-19 9.01e-19 6.77e-19 2.06e-23 1.05e-22 1.69e-22 2.32e-19
2.30e+05 8.82e-19 1.40e-18 8.79e-19 9.23e-19 6.83e-19 2.12e-23 1.07e-22 1.72e-22 1.71e-19
2.42e+05 9.25e-19 1.45e-18 9.08e-19 9.44e-19 6.88e-19 2.18e-23 1.09e-22 1.75e-22 1.25e-19
2.55e+05 9.68e-19 1.51e-18 9.36e-19 9.65e-19 6.93e-19 2.24e-23 1.10e-22 1.77e-22 9.27e-20
2.69e+05 1.01e-18 1.57e-18 9.65e-19 9.85e-19 6.97e-19 2.31e-23 1.12e-22 1.80e-22 6.90e-20
2.83e+05 1.06e-18 1.63e-18 9.94e-19 1.00e-18 7.01e-19 2.37e-23 1.13e-22 1.83e-22 5.20e-20
2.98e+05 1.10e-18 1.69e-18 1.02e-18 1.02e-18 7.05e-19 2.44e-23 1.15e-22 1.86e-22 3.97e-20
3.13e+05 1.15e-18 1.74e-18 1.05e-18 1.04e-18 7.08e-19 2.51e-23 1.17e-22 1.89e-22 3.06e-20
3.30e+05 1.20e-18 1.80e-18 1.08e-18 1.06e-18 7.11e-19 2.60e-23 1.19e-22 1.92e-22 2.39e-20
3.47e+05 1.25e-18 1.86e-18 1.11e-18 1.07e-18 7.14e-19 2.70e-23 1.20e-22 1.95e-22 1.89e-20
3.66e+05 1.29e-18 1.91e-18 1.13e-18 1.09e-18 7.16e-19 2.82e-23 1.22e-22 1.99e-22 1.51e-20
3.85e+05 1.34e-18 1.97e-18 1.16e-18 1.10e-18 7.18e-19 2.98e-23 1.24e-22 2.02e-22 1.22e-20
4.05e+05 1.39e-18 2.02e-18 1.19e-18 1.11e-18 7.20e-19 3.21e-23 1.26e-22 2.05e-22 9.90e-21
4.26e+05 1.44e-18 2.08e-18 1.22e-18 1.13e-18 7.22e-19 3.54e-23 1.28e-22 2.08e-22 8.13e-21
4.49e+05 1.49e-18 2.13e-18 1.24e-18 1.14e-18 7.24e-19 4.05e-23 1.31e-22 2.11e-22 6.74e-21
4.72e+05 1.54e-18 2.18e-18 1.27e-18 1.15e-18 7.26e-19 4.83e-23 1.33e-22 2.15e-22 5.64e-21
4.97e+05 1.59e-18 2.24e-18 1.29e-18 1.16e-18 7.27e-19 6.03e-23 1.37e-22 2.18e-22 4.77e-21
5.23e+05 1.64e-18 2.29e-18 1.32e-18 1.18e-18 7.29e-19 7.84e-23 1.41e-22 2.22e-22 4.08e-21
5.51e+05 1.69e-18 2.34e-18 1.34e-18 1.19e-18 7.31e-19 1.05e-22 1.47e-22 2.25e-22 3.53e-21
5.80e+05 1.74e-18 2.38e-18 1.37e-18 1.20e-18 7.32e-19 1.45e-22 1.55e-22 2.28e-22 3.11e-21
6.10e+05 1.79e-18 2.43e-18 1.39e-18 1.21e-18 7.33e-19 2.02e-22 1.67e-22 2.32e-22 2.79e-21
6.43e+05 1.84e-18 2.48e-18 1.42e-18 1.22e-18 7.35e-19 2.82e-22 1.85e-22 2.36e-22 2.57e-21
6.76e+05 1.89e-18 2.52e-18 1.44e-18 1.23e-18 7.36e-19 3.92e-22 2.10e-22 2.40e-22 2.43e-21
7.12e+05 1.94e-18 2.57e-18 1.46e-18 1.24e-18 7.38e-19 5.43e-22 2.45e-22 2.43e-22 2.38e-21
7.49e+05 1.99e-18 2.61e-18 1.49e-18 1.25e-18 7.39e-19 7.43e-22 2.93e-22 2.47e-22 2.42e-21
7.89e+05 2.04e-18 2.65e-18 1.51e-18 1.26e-18 7.40e-19 1.01e-21 3.61e-22 2.51e-22 2.54e-21
8.30e+05 2.09e-18 2.69e-18 1.53e-18 1.27e-18 7.42e-19 1.35e-21 4.52e-22 2.55e-22 2.76e-21
8.74e+05 2.14e-18 2.72e-18 1.55e-18 1.28e-18 7.43e-19 1.78e-21 5.74e-22 2.59e-22 3.07e-21
9.20e+05 2.18e-18 2.76e-18 1.57e-18 1.29e-18 7.45e-19 2.32e-21 7.34e-22 2.63e-22 3.49e-21
9.69e+05 2.23e-18 2.79e-18 1.59e-18 1.30e-18 7.46e-19 3.00e-21 9.43e-22 2.67e-22 4.00e-21
1.02e+06 2.28e-18 2.83e-18 1.60e-18 1.31e-18 7.47e-19 3.83e-21 1.21e-21 2.71e-22 4.62e-21
1.07e+06 2.32e-18 2.86e-18 1.62e-18 1.32e-18 7.49e-19 4.81e-21 1.54e-21 2.75e-22 5.30e-21
1.13e+06 2.36e-18 2.89e-18 1.64e-18 1.32e-18 7.50e-19 6.00e-21 1.96e-21 2.80e-22 6.07e-21
1.19e+06 2.41e-18 2.91e-18 1.65e-18 1.33e-18 7.52e-19 7.39e-21 2.47e-21 2.84e-22 6.87e-21
1.25e+06 2.45e-18 2.94e-18 1.67e-18 1.34e-18 7.53e-19 9.03e-21 3.09e-21 2.88e-22 7.71e-21
1.32e+06 2.49e-18 2.96e-18 1.68e-18 1.35e-18 7.54e-19 1.09e-20 3.84e-21 2.93e-22 8.54e-21
1.39e+06 2.53e-18 2.98e-18 1.69e-18 1.35e-18 7.56e-19 1.31e-20 4.72e-21 2.97e-22 9.33e-21
1.46e+06 2.56e-18 3.00e-18 1.70e-18 1.36e-18 7.57e-19 1.55e-20 5.75e-21 3.02e-22 1.00e-20
1.54e+06 2.60e-18 3.02e-18 1.71e-18 1.36e-18 7.59e-19 1.83e-20 6.96e-21 3.06e-22 1.06e-20
1.62e+06 2.63e-18 3.03e-18 1.72e-18 1.37e-18 7.60e-19 2.14e-20 8.34e-21 3.11e-22 1.10e-20
1.70e+06 2.67e-18 3.05e-18 1.73e-18 1.37e-18 7.61e-19 2.48e-20 9.92e-21 3.15e-22 1.13e-20
1.79e+06 2.70e-18 3.06e-18 1.74e-18 1.38e-18 7.62e-19 2.86e-20 1.17e-20 3.20e-22 1.13e-20
1.89e+06 2.73e-18 3.07e-18 1.74e-18 1.38e-18 7.64e-19 3.27e-20 1.37e-20 3.25e-22 1.11e-20
1.99e+06 2.75e-18 3.08e-18 1.75e-18 1.38e-18 7.65e-19 3.72e-20 1.59e-20 3.30e-22 1.08e-20
2.09e+06 2.78e-18 3.08e-18 1.75e-18 1.39e-18 7.66e-19 4.20e-20 1.84e-20 3.35e-22 1.03e-20
2.20e+06 2.80e-18 3.09e-18 1.76e-18 1.39e-18 7.67e-19 4.72e-20 2.11e-20 3.40e-22 9.70e-21
2.32e+06 2.82e-18 3.09e-18 1.76e-18 1.39e-18 7.68e-19 5.28e-20 2.40e-20 3.46e-22 9.08e-21
2.44e+06 2.84e-18 3.09e-18 1.76e-18 1.39e-18 7.69e-19 5.87e-20 2.72e-20 3.51e-22 8.44e-21
